"metro_area","state","county_fips1","county_fips2","county_fips3","county_fips4","county_fips5","estimate_2019","actual_2010","growth","combided_statistical_area","V1","V2","V3","V4","V5","V6"
"North Port-Sarasota-Bradenton","FL","12115","12081",NA,NA,NA,"836,995","702,281","19.18%","North Port-Sarasota, FL CSA",229,NA,NA,NA,NA,NA
"Dayton-Kettering","OH","39113","39057",NA,NA,NA,"807,611","799,232","1.05%","Dayton-Springfield-Kettering, OH CSA",307,NA,NA,NA,NA,NA
"Charleston-North Charleston","SC","45019","45015","45035",NA,NA,"802,122","664,607","20.69%","",NA,NA,NA,NA,NA,NA
"Greensboro-High Point","NC","37081","37151","37057","37067",NA,"771,851","723,801","6.64%","Greensboro–Winston-Salem–High Point, NC CSA",87,251,NA,NA,NA,NA
"Cape Coral-Fort Myers","FL","12071",NA,NA,NA,NA,"770,577","618,754","24.54%","Cape Coral-Fort Myers-Naples, FL CSA",142,229,NA,NA,NA,NA
"Stockton","CA","06077",NA,NA,NA,NA,"762,148","685,306","11.21%","San Jose-San Francisco-Oakland, CA CSA",26,102,NA,NA,NA,NA
"Boise City","ID","16015",NA,NA,NA,NA,"749,202","616,561","21.51%","Boise City-Mountain Home-Ontario, ID-OR CSA",NA,NA,NA,NA,NA,NA
"Colorado Springs","CO","08041",NA,NA,NA,NA,"745,791","645,613","15.52%","",256,NA,NA,NA,NA,NA
"Little Rock-North Little Rock-Conway","AR","05119","05045",NA,NA,NA,"742,384","699,757","6.09%","Little Rock-North Little Rock, AR CSA",369,NA,NA,NA,NA,NA
"Lakeland-Winter Haven","FL","12105",NA,NA,NA,NA,"724,777","602,095","20.38%","Orlando-Lakeland-Deltona, FL CSA",18,23,309,347,NA,NA
"Akron","OH","39153",NA,NA,NA,NA,"703,479","703,200","0.04%","Cleveland-Akron-Canton, OH CSA",34,136,NA,NA,NA,NA
"Des Moines-West Des Moines","IA","19057","19153","19049","19181","19121","699,292","606,475","15.30%","Des Moines-Ames-West Des Moines, IA CSA",NA,NA,NA,NA,NA,NA
"Springfield","MA","25013",NA,NA,NA,NA,"697,382","692,942","0.64%","",48,58,319,NA,NA,NA
"Ogden-Clearfield","UT","49057","49011",NA,NA,NA,"683,864","597,159","14.52%","Salt Lake City-Provo-Orem, UT CSA",293,NA,NA,NA,NA,NA
"Poughkeepsie-Newburgh-Middletown","NY","36027","36071",NA,NA,NA,"679,158","670,301","1.32%","New York-Newark, NY-NJ-CT-PA CSA",59,241,319,NA,NA,NA
"Winston-Salem","NC","37067",NA,NA,NA,NA,"676,008","640,595","5.53%","Greensboro–Winston-Salem–High Point, NC CSA",75,NA,NA,NA,NA,NA
"Deltona-Daytona Beach-Ormond Beach","FL","12127",NA,NA,NA,NA,"668,365","590,289","13.23%","Orlando-Lakeland-Deltona, FL CSA",23,96,149,NA,NA,NA
"Madison","WI","55025",NA,NA,NA,NA,"664,865","605,435","9.82%","Madison-Janesville-Beloit, WI CSA",262,NA,NA,NA,NA,NA
"Syracuse","NY","36067",NA,NA,NA,NA,"648,593","662,577","?2.11%","Syracuse-Auburn, NY CSA",NA,NA,NA,NA,NA,NA
"Provo-Orem","UT","49049",NA,NA,NA,NA,"648,252","526,810","23.05%","Salt Lake City-Provo-Orem, UT CSA",47,NA,NA,NA,NA,NA
"Durham-Chapel Hill","NC","37063","37135",NA,NA,NA,"644,367","564,273","14.19%","Raleigh-Durham-Cary, NC CSA",42,NA,NA,NA,NA,NA
"Toledo","OH","39095",NA,NA,NA,NA,"641,816","651,429","?1.48%","Toledo-Findlay-Tiffin, OH CSA",279,NA,NA,NA,NA,NA
"Wichita","KS","20173",NA,NA,NA,NA,"640,218","623,061","2.75%","Wichita-Winfield, KS CSA",NA,NA,NA,NA,NA,NA
"Augusta-Richmond County","GA","13245",NA,NA,NA,NA,"608,980","564,873","7.81%","",NA,NA,NA,NA,NA,NA
"Palm Bay-Melbourne-Titusville","FL","12009",NA,NA,NA,NA,"601,942","543,376","10.78%","Orlando-Lakeland-Deltona, FL CSA",23,88,265,NA,NA,NA
"Jackson","MS","28059",NA,NA,NA,NA,"594,806","586,320","1.45%","Jackson-Vicksburg-Brookhaven, MS CSA",126,130,NA,NA,NA,NA
"Harrisburg-Carlisle","PA","42043","42041",NA,NA,NA,"577,941","549,475","5.18%","Harrisburg-York-Lebanon, PA CSA",104,121,295,NA,NA,NA
"Spokane-Spokane Valley","WA","53063",NA,NA,NA,NA,"568,521","514,752","10.45%","Spokane-Spokane Valley-Coeur d'Alene, WA-ID CSA",260,NA,NA,NA,NA,NA
"Chattanooga","TN","47065",NA,NA,NA,NA,"565,194","528,143","7.02%","Chattanooga-Cleveland-Dalton, TN-GA-AL CSA",289,320,NA,NA,NA,NA
"Scranton–Wilkes-Barre","PA","42069","42079",NA,NA,NA,"553,885","563,631","?1.73%","",250,NA,NA,NA,NA,NA
"Modesto","CA","06099",NA,NA,NA,NA,"550,660","514,453","7.04%","San Jose-San Francisco-Oakland, CA CSA",35,77,175,NA,NA,NA
"Lansing-East Lansing","MI","26065","26045","26037",NA,NA,"550,391","534,684","2.94%","",266,NA,NA,NA,NA,NA
"Lancaster","PA","42071",NA,NA,NA,NA,"545,724","519,445","5.06%","",98,121,129,295,NA,NA
"Portland-South Portland","ME","23005",NA,NA,NA,NA,"538,500","514,098","4.75%","Portland-Lewiston-South Portland, ME CSA",346,NA,NA,NA,NA,NA
"Youngstown-Warren-Boardman","OH","39099","39155",NA,NA,NA,"536,081","565,773","?5.25%","Youngstown-Warren, OH-PA CSA",136,NA,NA,NA,NA,NA
"Fayetteville-Springdale-Rogers","AR","05143","05007",NA,NA,NA,"534,904","440,121","21.54%","",NA,NA,NA,NA,NA,NA
"Fayetteville","NC","37051",NA,NA,NA,NA,"526,719","481,061","9.49%","Fayetteville-Lumberton-Laurinburg, NC CSA",NA,NA,NA,NA,NA,NA
"Lexington-Fayette","KY","21067",NA,NA,NA,NA,"517,056","472,099","9.52%","Lexington-Fayette–Richmond–Frankfort, KY CSA",NA,NA,NA,NA,NA,NA
"Pensacola-Ferry Pass-Brent","FL","12033",NA,NA,NA,NA,"502,629","448,991","11.95%","Pensacola-Ferry Pass, FL-AL CSA",203,NA,NA,NA,NA,NA
"Myrtle Beach-Conway-North Myrtle Beach","SC","45051",NA,NA,NA,NA,"496,901","376,722","31.90%","Myrtle Beach-Conway, SC-NC CSA",NA,NA,NA,NA,NA,NA
"Santa Rosa-Petaluma","CA","06097",NA,NA,NA,NA,"494,336","483,878","2.16%","San Jose-San Francisco-Oakland, CA CSA",122,300,NA,NA,NA,NA
"Port St. Lucie","FL","12111",NA,NA,NA,NA,"489,297","424,107","15.37%","Miami-Port St. Lucie-Fort Lauderdale, FL CSA",265,NA,NA,NA,NA,NA
"Lafayette","LA","22055",NA,NA,NA,NA,"489,207","466,750","4.81%","Lafayette-Opelousas-Morgan City, LA CSA",NA,NA,NA,NA,NA,NA
"Reno","NV","32031",NA,NA,NA,NA,"475,642","425,417","11.81%","Reno-Carson City-Fernley, NV CSA",384,NA,NA,NA,NA,NA
"Huntsville","AL","01089",NA,NA,NA,NA,"471,824","417,593","12.99%","Huntsville-Decatur, AL CSA",273,NA,NA,NA,NA,NA
"Springfield","MO","29077",NA,NA,NA,NA,"470,300","436,712","7.69%","",NA,NA,NA,NA,NA,NA
"Visalia","CA","06107",NA,NA,NA,NA,"466,195","442,179","5.43%","",54,62,272,NA,NA,NA
"Asheville","NC","37021",NA,NA,NA,NA,"462,680","424,858","8.90%","Asheville-Marion-Brevard, NC CSA",NA,NA,NA,NA,NA,NA
"Killeen-Temple","TX","48027",NA,NA,NA,NA,"460,303","405,300","13.57%","",177,NA,NA,NA,NA,NA
"York-Hanover","PA","42133",NA,NA,NA,NA,"449,058","434,972","3.24%","Harrisburg-York-Lebanon, PA CSA",98,104,351,NA,NA,NA
"Vallejo","CA","06095",NA,NA,NA,NA,"447,643","413,344","8.30%","San Jose-San Francisco-Oakland, CA CSA",26,112,300,NA,NA,NA
"Santa Maria-Santa Barbara","CA","06083",NA,NA,NA,NA,"446,499","423,895","5.33%","",62,68,174,NA,NA,NA
"Salinas","CA","06053",NA,NA,NA,NA,"434,061","415,057","4.58%","",54,174,178,272,NA,NA
"Salem","OR","41047","41053",NA,NA,NA,"433,903","390,738","11.05%","Portland-Vancouver-Salem, OR-WA CSA",312,NA,NA,NA,NA,NA
"Mobile","AL","01097",NA,NA,NA,NA,"429,536","430,573","?0.24%","Mobile-Daphne-Fairhope, AL CSA",97,203,NA,NA,NA,NA
"Corpus Christi","TX","48355",NA,NA,NA,NA,"429,024","405,027","5.92%","Corpus Christi-Kingsville-Alice, TX CSA",NA,NA,NA,NA,NA,NA
"Brownsville-Harlingen","TX","48061",NA,NA,NA,NA,"423,163","406,220","4.17%","Brownsville-Harlingen-Raymondville, TX CSA",65,NA,NA,NA,NA,NA
"Reading","PA","42011",NA,NA,NA,NA,"421,164","411,442","2.36%","Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA",70,104,295,NA,NA,NA
"Gulfport-Biloxi","MS","28047",NA,NA,NA,NA,"417,665","388,488","7.51%","",97,NA,NA,NA,NA,NA
"Manchester-Nashua","NH","33011",NA,NA,NA,NA,"417,025","400,721","4.07%","Boston-Worcester-Providence, MA-RI-NH-CT CSA",58,NA,NA,NA,NA,NA
"Salisbury","MD","24045",NA,NA,NA,NA,"415,726","373,802","11.22%","Salisbury-Cambridge, MD-DE CSA",NA,NA,NA,NA,NA,NA
"Fort Wayne","IN","18003",NA,NA,NA,NA,"413,263","388,621","6.34%","Fort Wayne-Huntington-Auburn, IN CSA",NA,NA,NA,NA,NA,NA
"Flint","MI","26049",NA,NA,NA,NA,"405,813","425,790","?4.69%","Detroit-Warren-Ann Arbor, MI CSA",228,NA,NA,NA,NA,NA
"Peoria","IL","17143",NA,NA,NA,NA,"400,561","416,255","?3.77%","",NA,NA,NA,NA,NA,NA
"Canton-Massillon","OH","39151",NA,NA,NA,NA,"397,520","404,422","?1.71%","Cleveland-Akron-Canton, OH CSA",82,106,NA,NA,NA,NA
"Anchorage","AK","02020",NA,NA,NA,NA,"396,317","380,821","4.07%","",NA,NA,NA,NA,NA,NA
"Shreveport-Bossier City","LA","22017","22015",NA,NA,NA,"394,706","398,604","?0.98%","Shreveport-Bossier City-Minden, LA CSA",NA,NA,NA,NA,NA,NA
"Savannah","GA","13051",NA,NA,NA,NA,"393,353","347,611","13.16%","Savannah-Hinesville-Statesboro, GA CSA",377,NA,NA,NA,NA,NA
"Beaumont-Port Arthur","TX","48245","48361",NA,NA,NA,"392,563","388,745","0.98%","",NA,NA,NA,NA,NA,NA
"Tallahassee","FL","12073",NA,NA,NA,NA,"387,227","367,413","5.39%","",NA,NA,NA,NA,NA,NA
"Naples-Marco Island","FL","12021",NA,NA,NA,NA,"384,902","321,520","19.71%","Cape Coral-Fort Myers-Naples, FL CSA",7,76,NA,NA,NA,NA
"Eugene-Springfield","OR","41039",NA,NA,NA,NA,"382,067","351,715","8.63%","",226,312,366,NA,NA,NA
"Davenport-Moline-Rock Island","IA","19163","17161",NA,NA,NA,"379,172","379,690","?0.14%","Davenport-Moline, IA-IL CSA",NA,NA,NA,NA,NA,NA
"Montgomery","AL","01101",NA,NA,NA,NA,"373,290","374,536","?0.33%","Montgomery-Selma-Alexander City, AL CSA",NA,NA,NA,NA,NA,NA
"Hickory-Lenoir-Morganton","NC","37035","37027","37023",NA,NA,"369,711","365,497","1.15%","",NA,NA,NA,NA,NA,NA
"Ann Arbor","MI","26161",NA,NA,NA,NA,"367,601","344,791","6.62%","Detroit-Warren-Ann Arbor, MI CSA",14,266,279,NA,NA,NA
"Trenton-Princeton","NJ","34021",NA,NA,NA,NA,"367,430","366,513","0.25%","New York-Newark, NY-NJ-CT-PA CSA",NA,NA,NA,NA,NA,NA
"Ocala","FL","12083",NA,NA,NA,NA,"365,579","331,298","10.35%","",88,154,281,309,NA,NA
"Fort Collins","CO","08069",NA,NA,NA,NA,"356,899","299,630","19.11%","",155,156,358,NA,NA,NA
"Huntington-Ashland","WV","54011","21019",NA,NA,NA,"355,873","370,908","?4.05%","Charleston-Huntington-Ashland, WV-OH-KY CSA",NA,NA,NA,NA,NA,NA
"Lincoln","NE","31109",NA,NA,NA,NA,"336,374","302,157","11.32%","Lincoln-Beatrice, NE CSA",NA,NA,NA,NA,NA,NA
"Rockford","IL","17201",NA,NA,NA,NA,"336,116","349,431","?3.81%","Rockford-Freeport-Rochelle, IL CSA",262,NA,NA,NA,NA,NA
"Gainesville","FL","12001",NA,NA,NA,NA,"329,128","305,076","7.88%","Gainesville-Lake City, FL CSA",149,NA,NA,NA,NA,NA
"Boulder","CO","08013",NA,NA,NA,NA,"326,196","294,567","10.74%","Denver-Aurora, CO CSA",150,156,NA,NA,NA,NA
"Greeley","CO","08123",NA,NA,NA,NA,"324,492","252,825","28.35%","Denver-Aurora, CO CSA",150,155,358,NA,NA,NA
"South Bend-Mishawaka","IN","18141",NA,NA,NA,NA,"323,613","319,224","1.37%","South Bend-Elkhart-Mishawaka, IN-MI CSA",219,271,343,NA,NA,NA
"Green Bay","WI","55009",NA,NA,NA,NA,"322,906","306,241","5.44%","Green Bay-Shawano, WI CSA",195,NA,NA,NA,NA,NA
"Lubbock","TX","48303",NA,NA,NA,NA,"322,257","290,805","10.82%","Lubbock-Plainview-Levelland, TX CSA",NA,NA,NA,NA,NA,NA
"Columbus","GA","13215",NA,NA,NA,NA,"321,048","307,788","4.31%","Columbus-Auburn-Opelika, GA-AL CSA",261,NA,NA,NA,NA,NA
"Spartanburg","SC","45083",NA,NA,NA,NA,"319,785","284,307","12.48%","Greenville-Spartanburg-Anderson, SC CSA",60,NA,NA,NA,NA,NA
"Evansville","IN","18163",NA,NA,NA,NA,"315,086","311,552","1.13%","",NA,NA,NA,NA,NA,NA
"Roanoke","VA","51161",NA,NA,NA,NA,"313,222","308,707","1.46%","",257,NA,NA,NA,NA,NA
"Clarksville","TN","47125",NA,NA,NA,NA,"307,820","273,949","12.36%","",NA,NA,NA,NA,NA,NA
"Kingsport-Bristol","TN","47163","47073",NA,NA,NA,"307,202","309,544","?0.76%","Johnson City-Kingsport-Bristol, TN-VA CSA",222,NA,NA,NA,NA,NA
"Kennewick-Richland","WA","53005",NA,NA,NA,NA,"299,612","253,340","18.26%","Kennewick-Richland-Walla Walla, WA CSA",191,383,NA,NA,NA,NA
"Wilmington","NC","37129",NA,NA,NA,NA,"297,533","254,884","16.73%","",NA,NA,NA,NA,NA,NA
"Olympia-Lacey-Tumwater","WA","53067",NA,NA,NA,NA,"290,536","252,264","15.17%","Seattle-Tacoma, WA CSA",NA,NA,NA,NA,NA,NA
"Utica-Rome","NY","36065",NA,NA,NA,NA,"289,990","299,397","?3.14%","",NA,NA,NA,NA,NA,NA
"Duluth","MN","27137",NA,NA,NA,NA,"288,732","290,637","?0.66%","",NA,NA,NA,NA,NA,NA
"Hagerstown-Martinsburg","MD","24043","54003",NA,NA,NA,"288,104","269,140","7.05%","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA",268,362,NA,NA,NA,NA
"Longview","TX","48183",NA,NA,NA,NA,"286,657","280,000","2.38%","",198,NA,NA,NA,NA,NA
"Crestview-Fort Walton Beach-Destin","FL","12091",NA,NA,NA,NA,"284,809","235,865","20.75%","",NA,NA,NA,NA,NA,NA
"San Luis Obispo-Paso Robles","CA","06079",NA,NA,NA,NA,"283,111","269,637","5.00%","",62,123,124,272,NA,NA
"Merced","CA","06047",NA,NA,NA,NA,"277,680","255,793","8.56%","San Jose-San Francisco-Oakland, CA CSA",35,54,102,267,NA,NA
"Laredo","TX","48479",NA,NA,NA,NA,"276,652","250,304","10.53%","",NA,NA,NA,NA,NA,NA
"Waco","TX","48309",NA,NA,NA,NA,"273,920","252,772","8.37%","",120,NA,NA,NA,NA,NA
"Santa Cruz-Watsonville","CA","06087",NA,NA,NA,NA,"273,213","262,382","4.13%","San Jose-San Francisco-Oakland, CA CSA",35,124,NA,NA,NA,NA
"Cedar Rapids","IA","19113",NA,NA,NA,NA,"273,032","257,940","5.85%","Cedar Rapids-Iowa City, IA CSA",246,NA,NA,NA,NA,NA
"Bremerton-Silverdale-Port Orchard","WA","53035",NA,NA,NA,NA,"271,473","251,133","8.10%","Seattle-Tacoma, WA CSA",15,NA,NA,NA,NA,NA
"Erie","PA","42049",NA,NA,NA,NA,"269,728","280,566","?3.86%","Erie-Meadville, PA CSA",NA,NA,NA,NA,NA,NA
"Sioux Falls","SD","46099",NA,NA,NA,NA,"268,232","228,261","17.51%","",NA,NA,NA,NA,NA,NA
"Norwich-New London","CT","09011",NA,NA,NA,NA,"265,206","274,055","?3.23%","Hartford-East Hartford, CT CSA",48,NA,NA,NA,NA,NA
"Kalamazoo-Portage","MI","26077",NA,NA,NA,NA,"265,066","250,331","5.89%","Kalamazoo-Battle Creek-Portage, MI CSA",306,NA,NA,NA,NA,NA
"Amarillo","TX","48375",NA,NA,NA,NA,"265,053","251,933","5.21%","Amarillo-Pampa-Borger, TX CSA",NA,NA,NA,NA,NA,NA
"College Station-Bryan","TX","48041",NA,NA,NA,NA,"264,728","228,660","15.77%","",NA,NA,NA,NA,NA,NA
"Atlantic City-Hammonton","NJ","34001",NA,NA,NA,NA,"263,670","274,549","?3.96%","Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA",282,367,NA,NA,NA,NA
"Lynchburg","VA","51680",NA,NA,NA,NA,"263,566","252,634","4.33%","",NA,NA,NA,NA,NA,NA
"Charleston","WV","54039",NA,NA,NA,NA,"257,074","278,009","?7.53%","Charleston-Huntington-Ashland, WV-OH-KY CSA",335,NA,NA,NA,NA,NA
"Tuscaloosa","AL","01125",NA,NA,NA,NA,"252,047","239,207","5.37%","",50,NA,NA,NA,NA,NA
"Yakima","WA","53077",NA,NA,NA,NA,"250,873","243,231","3.14%","",15,166,NA,NA,NA,NA
"Fort Smith","AR","05131",NA,NA,NA,NA,"250,368","248,208","0.87%","",NA,NA,NA,NA,NA,NA
"Fargo","ND","38017",NA,NA,NA,NA,"246,145","208,777","17.90%","Fargo-Wahpeton, ND-MN CSA",NA,NA,NA,NA,NA,NA
"Binghamton","NY","36007",NA,NA,NA,NA,"238,691","251,725","?5.18%","",NA,NA,NA,NA,NA,NA
"Appleton","WI","55087",NA,NA,NA,NA,"237,974","225,666","5.45%","Appleton-Oshkosh-Neenah, WI CSA",158,248,NA,NA,NA,NA
"Prescott Valley-Prescott","AZ","04025",NA,NA,NA,NA,"235,099","211,033","11.40%","",10,214,291,NA,NA,NA
"Lafayette-West Lafayette","IN","18157",NA,NA,NA,NA,"233,002","210,297","10.80%","Lafayette-West Lafayette-Frankfort, IN CSA",NA,NA,NA,NA,NA,NA
"Tyler","TX","48423",NA,NA,NA,NA,"232,751","209,714","10.98%","Tyler-Jacksonville, TX CSA",172,NA,NA,NA,NA,NA
"Topeka","KS","20177",NA,NA,NA,NA,"231,969","233,870","?0.81%","",326,NA,NA,NA,NA,NA
"Macon-Bibb County","GA","13021",NA,NA,NA,NA,"229,996","232,293","?0.99%","Macon-Bibb County–Warner Robins, GA CSA",231,NA,NA,NA,NA,NA
"Bellingham","WA","53073",NA,NA,NA,NA,"229,247","201,140","13.97%","",313,NA,NA,NA,NA,NA
"Champaign-Urbana","IL","17019",NA,NA,NA,NA,"226,033","217,810","3.78%","",249,379,NA,NA,NA,NA
"Daphne-Fairhope-Foley","AL","01003",NA,NA,NA,NA,"223,234","182,265","22.48%","Mobile-Daphne-Fairhope, AL CSA",110,126,NA,NA,NA,NA
"Hilton Head Island-Bluffton-Beaufort","SC","45013",NA,NA,NA,NA,"222,195","187,010","18.81%","",NA,NA,NA,NA,NA,NA
"Rochester","MN","27109",NA,NA,NA,NA,"221,921","206,877","7.27%","Rochester-Austin, MN CSA",NA,NA,NA,NA,NA,NA
"Medford","OR","41029",NA,NA,NA,NA,"220,944","203,206","8.73%","Medford-Grants Pass, OR CSA",370,NA,NA,NA,NA,NA
"Burlington-South Burlington","VT","50007",NA,NA,NA,NA,"220,411","211,261","4.33%","Burlington-South Burlington-Barre, VT CSA",NA,NA,NA,NA,NA,NA
"Chico","CA","06007",NA,NA,NA,NA,"219,186","220,000","?0.37%","",243,NA,NA,NA,NA,NA
"Charlottesville","VA","51540",NA,NA,NA,NA,"218,615","201,559","8.46%","",NA,NA,NA,NA,NA,NA
"Las Cruces","NM","35013",NA,NA,NA,NA,"218,195","209,233","4.28%","El Paso-Las Cruces, TX-NM CSA",69,NA,NA,NA,NA,NA
"Yuma","AZ","04027",NA,NA,NA,NA,"213,787","195,751","9.21%","",10,53,234,NA,NA,NA
